ID,Use,industry,industry.group,site,unit,BP.cal.median,C14.mean,C14.SD,C14.COV,calib.curve,sample.id,material,delta 13,method&id,comments,citation,country,region
260,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery-T34 GC-09-11,29878,25600,190,0.0074,intcal20,GifA-11019/SacA-23627,Parietal charcoal mark,-29,AMS 7422,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
261,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery-T39 GC-09-19,28983,24760,190,0.0077,intcal20,GifA-12107/SacA-28992,Parietal humic fraction,-23,AMS 7425,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
262,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery-petit foyer ร  gauche,30516,26230,280,0.0107,intcal20,GifA-99081,NA,-21,AMS 2201,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
263,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery-T39 GC-09-19,29843,25610,280,0.0109,intcal20,GifA-11114/SacA-24654,Parietal charcoal mark,-25,AMS 7424,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
264,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery-GCA entrรฉ de la galerie sous stalagmite Chau-stm2 from Sill,30771,26590,300,0.0113,intcal20,GifA-102572,NA,-21,AMS 2200,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
265,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery-GC-12-73,34456,29980,360,0.012,intcal20,GifA-13227/SacA-34351,Cave floor charcoal,-23,AMS 7427,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
266,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery-(VPA1) paroi ร  gauche,31092,26980,410,0.0152,intcal20,GifA-95129,charcoal mouchage torche,-22,AMS 575,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
267,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery-(VPA1) paroi ร  gauche,31091,26980,420,0.0156,intcal20,GifA-95130,charcoal mouchage torche second part of sample,-21,AMS 576,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
268,1,[Upper Palaeolithic - charcoal],NA,Chauvet,Candle Gallery,29898,25700,850,0.0331,intcal20,GifA-95158,humic acid fraction of smaple GifA-95130,-22,AMS 2301,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
269,0,Upper Palaeolithic,NA,Chauvet,Chamber of the Bear Hollows-Cave floor charcoal-Sector 5.4,28894,24630,150,0.0061,intcal20,GifA-80135/SacA-11417,Cave floor charcoal,NA,AMS 7512,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
270,0,Upper Palaeolithic,NA,Chauvet,Chamber of the Bear Hollows-Cave floor charcoal-Sector 6.1-GC-08-07,30264,26020,170,0.0065,intcal20,GifA-80139/SacA-11421,Cave floor charcoal,-23,AMS 7517,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
271,0,Upper Palaeolithic,NA,Chauvet,Chamber of the Bear Hollows-Cave floor charcoal-Sector 6.5-GC-08-10,30606,26350,170,0.0065,intcal20,GifA-80143/SacA-11425,Cave floor charcoal,-22,AMS 7521,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
272,0,Upper Palaeolithic,NA,Chauvet,Chamber of the Bear Hollows-Cave floor charcoal-Sector 6.5-GC-08-09,30106,25830,180,0.007,intcal20,GifA-80142/SacA-11424,Cave floor charcoal,-20,AMS 7520,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
273,0,Upper Palaeolithic,NA,Chauvet,Chamber of the Bear Hollows-Canis lupus bones-entrance scree-Sector EB27 CL04,33401,28930,250,0.0086,intcal20,GrA-22573,Canis lupus bones,-19,AMS 7525,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
274,0,Upper Palaeolithic,NA,Chauvet,Chamber of the Bear Hollows-GC-00-37-sol-proche panneau avec Mains positives-Sector 8.15 from Sill,30530,26250,280,0.0107,intcal20,GifA-102570,sol,-17,AMS 577,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
275,0,Upper Palaeolithic,NA,Chauvet,Chamber of the Bear Hollows-GC-00-36-sol-ร  35 cm ร  droite de la passerelle-Qsector 5.5,30600,26360,290,0.011,intcal20,GifA-102569,sol,-24,AMS 2202,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
276,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-drawing Belvedere entrance-Large Lion ยฐ548-GC-09-13,30322,26070,180,0.0069,intcal20,GifA-11517/SacA-28473,drawing,-23,AMS 7490,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
277,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-Cave floor charcoal- Sector 11.19,31113,26980,200,0.0074,intcal20,GifA-12098/SacA-28983,Cave floor charcoal,-23,AMS 7506,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
278,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-Cave floor charcoal-GC-12-02,30963,26740,200,0.0075,intcal20,GifA-12097/SacA-28982,Cave floor charcoal,-22,AMS 7505,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
279,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-Cave floor charcoal-Slope-below the terminal platform-GV-08/18,30731,26490,200,0.0076,intcal20,GifA-9227/SacA-14236,Cave floor charcoal,-28,AMS 7504,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
280,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-drawing Belvedere entrance-Large Lion ยฐ548-GC-09-13,29920,25640,200,0.0078,intcal20,GifA-11018/SacA-23626,drawing,-25,AMS 7491,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
281,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,"End Gallery-humic fraction -Belvedere entrance-T225,GC-12-19",30313,26030,230,0.0088,intcal20,GifA-13107/SacA-33485,humic fraction,-23,AMS 7500,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
282,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-charcoal mark-Belvedere entrance-T225-GV-12-19,30634,26400,240,0.0091,intcal20,GifA-13103/SacA-33481,charcoal mark,-22,AMS 7499,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
283,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-Skylight-charcoal crushed on the floor-below GC- 4-A-GC-14-B,30673,26460,270,0.0102,intcal20,GifA-14230/SacA-39212,charcoal crushed on the floor,-25,AMS 7507,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
284,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-charcoal mark-Belvedere Gallery-Skylight-GC-14-A,31132,27010,290,0.0107,intcal20,GifA-14229/SacA-39211,charcoal mark,-26,AMS 7501,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
285,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-Sol-a 3.5 m du panneau des Bisons-Nord Berm,28408,24240,280,0.0116,intcal20,Ly-9381,soil,NA,Conv 14C 2165,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
286,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-humic frraction-Belvedere Gallery-Skylight-GC-14-A,30231,25930,310,0.012,intcal20,GifA-14233/SacA-39215,humic frraction,-28,AMS 7502,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
287,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-Sols salle terminale (charbons au sol) sample nยฐ8,27046,22800,400,0.0175,intcal20,Ly-6879,charbons au sol,NA,Conv 14C 2166,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
288,1,Aurignacian (?)/palaeolithic cave art,Aurignacian,Chauvet,End Gallery-drawing Belvedere Entrance-Black Rhinoceros nยฐ551-GC-09-09,32442,28170,730,0.0259,intcal20,GifA-11126/SacA-24666,drawing,-28,AMS 7489,NA,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
289,0,Palaeolithic,NA,Chauvet,"Gallery of the Crosshatching-Sector 15,11-Ursus spelaeus bones-US19",34138,29560,160,0.0054,intcal20,GrA-32590,ursus spelaeus bones,-20.6,AMS 7476,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
290,0,Palaeolithic,NA,Chauvet,Gallery of the Crosshatching-mouchage torche (GC-00-23) paroi pres des empreintes 1 et 3,30456,26160,260,0.0099,intcal20,GifA-101453,mouchage torche,NA,AMS 6358,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
291,0,Palaeolithic,NA,Chauvet,Gallery of the Crosshatching-GC-00.30-sol sous depot calcite-pres du lac,33666,29180,340,0.0117,intcal20,GifA-102568,sol sous depot calcite pres du lac,-15,AMS 2229,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
292,0,Palaeolithic,NA,Chauvet,Gallery of the Crosshatching-GC-00.26-sol sous GC-00-25,30432,26130,330,0.0126,intcal20,GifA-101457,sol,-11,AMS 2233,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
293,0,Palaeolithic,NA,Chauvet,Gallery of the Crosshatching-trace chinois (GC-00-25)-paroi gauche-entree de la galerie,31236,27130,490,0.0181,intcal20,GifA-101454,trace chinois,-22,AMS 2232,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
294,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-bone,29188,25000,60,0.0024,intcal20,Ly-1434,bone,NA,AMS 3377,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
295,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-Ashy concentration at the foot of the Panel of the Reindeer-GC-08-15,30311,26080,150,0.0058,intcal20,GifA-80153/SacA-12019,Ashy concentration,-23,AMS 7454,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
296,0,Upper Palaeolithic - charcoal -,NA,Chauvet,"Hilaire Chamber-Ursus spealeus bone Sector 9,4-CHV32",33610,29080,200,0.0069,intcal20,GrA-46926,Ursus spealeus bone,-20.2,AMS 7463,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
297,0,Upper Palaeolithic - charcoal -,NA,Chauvet,"Hilaire Chamber-Ursus spealeus bone Sector 9,5-CHV37",33972,29400,210,0.0071,intcal20,GrA-46927,Ursus spealeus bone,-20.1,AMS 7464,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
298,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-bone from the cave surface,28850,24590,190,0.0077,intcal20,Ly-235,bone,NA,AMS 3411,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
299,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-Cave floor charcoal-At the foot of the Panel of the Horses -GC-12-13,30052,25770,220,0.0085,intcal20,GifA-13025/SacA-32469,charcoal,-23,AMS 7455,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
300,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-Panel of the Reindeer-amorphous black mark-charcoal mark-GC-12-11,30514,26230,230,0.0088,intcal20,GifA-13033/SacA-32532,charcoal mark,-26,AMS 7450,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
301,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-Panel of the Reindeer-amorphous black mark-humic fraction-GC-12-11,30522,26240,230,0.0088,intcal20,GifA-13090/SacA-32988,humic fraction,-22,AMS 7451,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
302,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-T82-charcoal mark-GC-09/05,30561,26300,310,0.0118,intcal20,GifA-11132/SacA-24980,charcoal mark,-19,AMS 7448,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
303,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-mouchage torche 2 (VPA-4)-sur voile calcitรฉ recouvrant des dessins,30411,26120,400,0.0153,intcal20,GifA-95127,mouchage torche,-19,AMS 578,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
304,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-Panel of the Horses-Horse 2 (nยฐ216)-drawing VPA,25018,20790,340,0.0164,intcal20,GifA-98157,drawing VPA,NA,AMS 7433,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
305,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-T80-charcoal mark-GC-09/06,30374,26090,440,0.0169,intcal20,GifA-11127/SacA-24664,charcoal mark,-22,AMS 7449,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
306,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-charcoal-nยฐ 5-petit foyer au sol-sous rennes (panneau des Cheveaux),29002,24770,780,0.0315,intcal20,Ly-118 (OxA-),charcoal,NA,AMS 2208,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
307,0,Upper Palaeolithic - charcoal -,NA,Chauvet,Hilaire Chamber-Panel of the Horses-Horse 2 (nยฐ216)-humic fraction-VPA,33969,29670,950,0.032,intcal20,GifA-98160,humic fraction,NA,AMS 7432,industry association not specified,Valladas et al. 2005. BSPF 102:109-113. Gonzalez J. .e.a. 2007. L'Anthropologie doi: 10.1016/j.anthro.2007.07.001. J. Combier e.a. 2012. Quartรคr 59: 131-152. Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.,France,N Central
308,0,Upper Palaeolithic,NA,Chauvet,Megaloceros Gallery-Pinus cf sylvestris/nigra charcoal -GC-41 (part of the same sample for different labs),33197,28780,180,0.0063,intcal20,GrA-27316,Pinus cf sylvestris/nigra charcoal-GC-41 (part of the same sample for different labs),-23.8,AMS 6289,industry association not specified,Quiles A. e.a. 2014. Radiocarbon 56: 833-850.,France,N Central
309,0,Upper Palaeolithic,NA,Chauvet,Megaloceros Gallery-Pinus cf sylvestris/nigra charcoal -GC-40 (part of the same sample for different labs),34102,29540,210,0.0071,intcal20,GrA-27040,Pinus cf sylvestris/nigra charcoal-GC-40 (part of the same sample for different labs),-23.4,AMS 6272,industry association not specified,Quiles A. e.a. 2014. Radiocarbon 56: 833-850.,France,N Central
310,0,palaeolithic cave art,NA,Chauvet,Megaloceros Gallery-GC98-11S9-27-nยฐ 1,29669,25440,250,0.0098,intcal20,GifA-99237,NA,-23,AMS 2213,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Guibert P. e.a. 2015. Q Geochronology 29: 36-45,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
311,0,palaeolithic cave art,NA,Chauvet,Megaloceros Gallery-Parietal humic fraction T209-GC-09-15,29830,25600,280,0.0109,intcal20,GifA-12109/SacA-28994,Parietal humic fraction,-24,AMS 7484,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Guibert P. e.a. 2015. Q Geochronology 29: 36-45,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
312,0,palaeolithic cave art,NA,Chauvet,Megaloceros Gallery-GC-99-12-zone charbonneuse de l'etage intermediaire,30771,26590,300,0.0113,intcal20,GifA-99777,zone charbonneuse de l'etage intermediaire,-33,AMS 2225,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Guibert P. e.a. 2015. Q Geochronology 29: 36-45,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
313,0,palaeolithic cave art,NA,Chauvet,Megaloceros Gallery-GC98-11S9-27-nยฐ 3-sol-entree de la galerie,34225,29740,390,0.0131,intcal20,GifA-99239,sol,-16,AMS 2215,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Guibert P. e.a. 2015. Q Geochronology 29: 36-45,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
314,0,palaeolithic cave art,NA,Chauvet,Megaloceros Gallery-Cave floor charcoal Below the Horse with a Double Mane nยฐ7,33381,28980,400,0.0138,intcal20,Ly-6878,Cave floor charcoal,NA,AMS 7485,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Guibert P. e.a. 2015. Q Geochronology 29: 36-45,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
315,0,palaeolithic cave art,NA,Chauvet,Megaloceros Gallery-Parietal charcoal mark T191-GC-08-19,30779,26650,460,0.0173,intcal20,GifA-11113/SacA-24653,Parietal charcoal mark,-26,AMS 7481,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Guibert P. e.a. 2015. Q Geochronology 29: 36-45,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
316,0,palaeolithic cave art,NA,Chauvet,Megaloceros Gallery-Parietal charcoal mark T209-GC-09-21,28266,24050,450,0.0187,intcal20,GifA-11116/SacA-24656,Parietal charcoal mark,-23,AMS 7483,industry association not specified,"Valladas et al. 2005. BSPF 102:109-113. J. Combier,G. Jouve,Lโanthropologie xxx (2014) xxxxxx. Guibert P. e.a. 2015. Q Geochronology 29: 36-45,Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.Faigenbaum-Golovin S. e.a. 2016. PS 113: 4670-4675.",France,N Central
